User undefined came online, timestamp: 1302890423755
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890432567
User undefined went offline, timestamp: 1302890434714
User undefined came online, timestamp: 1302890439230
User undefined came online, timestamp: 1302890941811
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890946019
action: colored, x: 82, y: 277, layer: 20, timestamp: 1302890958368
action: colored, x: 64, y: 265, layer: 20, timestamp: 1302890958384
action: colored, x: 48, y: 258, layer: 20, timestamp: 1302890958401
action: colored, x: 26, y: 253, layer: 20, timestamp: 1302890958418
action: colored, x: 12, y: 253, layer: 20, timestamp: 1302890958435
action: colored, x: 0, y: 258, layer: 20, timestamp: 1302890958451
action: get points player, for player: 8627665, layer: 0, timestamp: 1302890962498
action: colored, x: 21, y: 283, layer: 00, timestamp: 1302890963832
action: colored, x: 21, y: 284, layer: 00, timestamp: 1302890963899
action: colored, x: 21, y: 286, layer: 00, timestamp: 1302890963915
action: colored, x: 21, y: 291, layer: 00, timestamp: 1302890963932
action: colored, x: 21, y: 294, layer: 00, timestamp: 1302890963950
action: colored, x: 21, y: 298, layer: 00, timestamp: 1302890963965
action: colored, x: 21, y: 301, layer: 00, timestamp: 1302890963982
action: colored, x: 21, y: 302, layer: 00, timestamp: 1302890963999
action: colored, x: 21, y: 303, layer: 00, timestamp: 1302890964091
action: colored, x: 23, y: 303, layer: 00, timestamp: 1302890964092
action: colored, x: 27, y: 304, layer: 00, timestamp: 1302890964092
action: colored, x: 32, y: 305, layer: 00, timestamp: 1302890964097
action: colored, x: 39, y: 307, layer: 00, timestamp: 1302890964114
action: colored, x: 47, y: 308, layer: 00, timestamp: 1302890964131
action: colored, x: 52, y: 309, layer: 00, timestamp: 1302890964148
action: colored, x: 57, y: 309, layer: 00, timestamp: 1302890964166
action: colored, x: 59, y: 309, layer: 00, timestamp: 1302890964181
action: colored, x: 60, y: 309, layer: 00, timestamp: 1302890964198
action: colored, x: 60, y: 308, layer: 00, timestamp: 1302890964314
action: colored, x: 60, y: 304, layer: 00, timestamp: 1302890964330
action: colored, x: 60, y: 298, layer: 00, timestamp: 1302890964346
action: colored, x: 60, y: 292, layer: 00, timestamp: 1302890964364
action: colored, x: 60, y: 285, layer: 00, timestamp: 1302890964380
action: colored, x: 60, y: 282, layer: 00, timestamp: 1302890964420
action: colored, x: 58, y: 277, layer: 00, timestamp: 1302890964421
action: colored, x: 55, y: 273, layer: 00, timestamp: 1302890964430
action: colored, x: 50, y: 268, layer: 00, timestamp: 1302890964447
action: colored, x: 44, y: 264, layer: 00, timestamp: 1302890964463
action: colored, x: 40, y: 261, layer: 00, timestamp: 1302890964480
action: colored, x: 36, y: 258, layer: 00, timestamp: 1302890964496
action: colored, x: 33, y: 257, layer: 00, timestamp: 1302890964529
action: colored, x: 32, y: 257, layer: 00, timestamp: 1302890964563
action: colored, x: 31, y: 263, layer: 00, timestamp: 1302890964579
action: colored, x: 29, y: 270, layer: 00, timestamp: 1302890964596
action: colored, x: 29, y: 279, layer: 00, timestamp: 1302890964613
action: colored, x: 29, y: 287, layer: 00, timestamp: 1302890964629
action: colored, x: 29, y: 295, layer: 00, timestamp: 1302890964646
action: colored, x: 29, y: 302, layer: 00, timestamp: 1302890964663
action: colored, x: 30, y: 305, layer: 00, timestamp: 1302890964679
action: colored, x: 33, y: 308, layer: 00, timestamp: 1302890964696
action: colored, x: 38, y: 310, layer: 00, timestamp: 1302890964712
action: colored, x: 43, y: 310, layer: 00, timestamp: 1302890964729
action: colored, x: 47, y: 310, layer: 00, timestamp: 1302890964745
action: colored, x: 50, y: 309, layer: 00, timestamp: 1302890964762
action: colored, x: 52, y: 307, layer: 00, timestamp: 1302890964779
action: colored, x: 52, y: 306, layer: 00, timestamp: 1302890964795
action: colored, x: 52, y: 303, layer: 00, timestamp: 1302890964812
action: colored, x: 52, y: 300, layer: 00, timestamp: 1302890964828
action: colored, x: 46, y: 292, layer: 00, timestamp: 1302890964845
action: colored, x: 39, y: 285, layer: 00, timestamp: 1302890964862
action: colored, x: 32, y: 279, layer: 00, timestamp: 1302890964879
action: colored, x: 26, y: 276, layer: 00, timestamp: 1302890964896
action: colored, x: 23, y: 276, layer: 00, timestamp: 1302890964912
action: colored, x: 21, y: 276, layer: 00, timestamp: 1302890964928
action: colored, x: 20, y: 277, layer: 00, timestamp: 1302890964978
action: colored, x: 21, y: 279, layer: 00, timestamp: 1302890964995
action: colored, x: 27, y: 282, layer: 00, timestamp: 1302890965011
action: colored, x: 34, y: 284, layer: 00, timestamp: 1302890965029
action: colored, x: 38, y: 285, layer: 00, timestamp: 1302890965044
action: colored, x: 44, y: 285, layer: 00, timestamp: 1302890965061
action: colored, x: 51, y: 282, layer: 00, timestamp: 1302890965078
